grid_id,ror_id
grid.14601.32,0287e5797
grid.14617.35,03dke3h47
grid.146189.3,03ctjbj91
grid.1463.0,00hgy8d33
grid.14647.30,04mqy3p58
grid.14648.3f,02wat9f69
grid.146611.5,0430zw506
grid.14709.3b,01pxwe438
grid.147093.8,017g36q02
grid.14724.34,00ne6sr39
grid.147455.6,05x2bcf33
grid.14750.37,017aqg979
grid.14751.36,00en9ce74
grid.14758.3f,03tf0c761
grid.14778.3d,006k2kk72
grid.14826.39,02c5jsm26
grid.14830.3e,055zmrh94
grid.148313.c,01e41cf67
grid.148374.d,052czxv31
grid.14841.38,04zb59n70
grid.14848.31,0161xgx34
grid.14868.33,001c2sn75
grid.1489.4,006vyay97
grid.14899.3d,02pwsw017
grid.14906.3a,056ddyv20
grid.1491.d,03mjtdk61
grid.14925.3b,0321g0743
grid.15011.34,0589ntt23
grid.150338.c,01m1pv723
grid.15034.33,0400avk24
grid.1504.0,04yyp8h20
grid.15040.30,02dzbc556
grid.15043.33,050c3cw24
grid.15058.39,02tc32w13
grid.15060.32,02pagex14
grid.15078.3b,02yrs2n53
grid.150792.8,054zv1w86
grid.15090.3d,01xnwqx93
grid.15098.35,05k73zm37
grid.15140.31,04zmssz18
grid.151569.f,0509tgg56
grid.15165.36,043rjaw23
grid.15227.33,03rfvyw43
grid.152326.1,02vm5rt34
grid.15237.32,00qyhsw43
grid.1527.1,04dkp1p98
grid.15276.37,02y3ad647
grid.152938.4,01vjd7j86
grid.152963.a,01grq2104
grid.15312.34,02m44ak47
grid.153460.5,0184gbk60
grid.15363.32,033p9g875
grid.15399.37,050jn9y42
grid.15401.31,05s6rge65
grid.154185.c,040r8fr65
grid.15419.38,02qsqdv65
grid.1543.3,022rkxt86
grid.15444.30,01wjejq96
grid.15447.33,023znxa73
grid.15449.3d,02z749649
grid.15462.34,03ef4a036
grid.15474.33,04jc43x05
grid.15485.3d,02e8hzf44
grid.15496.3f,01gmqr298
grid.155203.0,05by5hm18
grid.15538.3a,05bbqza97
grid.15540.35,0471kz689
grid.15585.3c,04rcxhq50
grid.155956.b,03e71c577
grid.15596.3e,04a1a1e81
grid.15606.34,04d77de73
grid.156122.3,051qy7v07
grid.15628.38,025n38288
grid.15638.39,03vaqfv64
grid.15649.3f,02h2x0161
grid.156520.5,01xtjs520
grid.15653.34,02s6w8y22
grid.15667.33,02vr0ne26
grid.15683.39,044xeax47
grid.15711.33,0031wrj91
grid.15736.36,03zx86w41
grid.15751.37,05t1h8f27
grid.15756.30,04w3d2v20
grid.15762.37,02kcbn207
grid.15774.30,01h89k731
grid.15775.31,0561a3s31
grid.15781.3a,02v6kpv12
grid.157868.5,00mthsf17
grid.157869.4,02kswma64
grid.15788.33,03yn8s215
grid.157927.f,01460j859
grid.158077.c,02vn11j58
grid.15810.3d,05qt8tf94
grid.15819.34,04h4z8k05
grid.15822.3c,01rv4p989
grid.15823.3d,02k5gp281
grid.15866.3c,0415vcw02
grid.15874.3f,01khx4a30
grid.15876.3d,00jzwgz36
grid.15878.33,04wez5e68
grid.158820.6,01j9p1r26
grid.15895.30,05kytsw45
grid.15935.3b,01fjw1d15
grid.159791.2,02k8cbn47
grid.16008.3f,036x5ad56
grid.16058.3a,05ep8g269
grid.16068.39,03nh7d505
grid.16082.3d,05ryv0s68
grid.16117.30,05hnb7x64
grid.161219.c,042q8va29
grid.16149.3b,01856cw59
grid.16189.37,05sep9w93
grid.162107.3,04q6c7p66
grid.162110.5,03fe7t173
grid.1623.6,01wddqe20
grid.162346.4,03tzaeb71
grid.16299.35,03s262162
grid.163004.0,02ff27430
grid.163032.5,03y3e3s17
grid.16326.30,03bvw9g02
grid.163507.6,00184ca40
grid.163555.1,036j6sg82
grid.163577.1,00msqp585
grid.16388.34,047yj9455
grid.16416.34,022kthw22
grid.164242.7,05xxfer42
grid.16425.34,01w56mz86
grid.164274.2,01dzjez04
grid.164295.d,047s2c258
grid.16463.36,04qzfn040
grid.16477.33,02kswqa67
grid.16487.3c,04v302n28
grid.16488.33,04ps1r162
grid.1649.a,04vgqjj36
